model,node_id,node_type,organism
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR60__Org1,rxn,Org1
BI,3hhexACP[c]__Org1,met,Org1
BI,3ohexACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR6M7__Org1,rxn,Org1
BI,6m3hheptACP[c]__Org1,met,Org1
BI,6m3oheptACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR6M8__Org1,rxn,Org1
BI,6m3hocACP[c]__Org1,met,Org1
BI,6m3oocACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR7M8__Org1,rxn,Org1
BI,7m3hocACP[c]__Org1,met,Org1
BI,7m3oocACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR80__Org1,rxn,Org1
BI,3hoctACP[c]__Org1,met,Org1
BI,3ooctACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR8M10__Org1,rxn,Org1
BI,8m3hdcaACP[c]__Org1,met,Org1
BI,8m3odcaACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR8M9__Org1,rxn,Org1
BI,8m3hnonACP[c]__Org1,met,Org1
BI,8m3ononACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR9M10__Org1,rxn,Org1
BI,9m3hdcaACP[c]__Org1,met,Org1
BI,9m3odcaACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,4ABZt2__Org1,rxn,Org1
BI,4abz[c]__Org1,met,Org1
BI,4abz[e]__Org1,met,Org1
BI,h[e]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,4HTHDR__Org1,rxn,Org1
BI,4hthdp[c]__Org1,met,Org1
BI,nad[c]__Org1,met,Org1
BI,nadh[c]__Org1,met,Org1
BI,thdp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,4HTHDS__Org1,rxn,Org1
BI,aspsa[c]__Org1,met,Org1
BI,pyr[c]__Org1,met,Org1
BI,4hthdp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,4HTHRS__Org1,rxn,Org1
BI,4hthr[c]__Org1,met,Org1
BI,phthr[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,4NTPPH2__Org1,rxn,Org1
BI,HC01104[c]__Org1,met,Org1
BI,pnp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,5AIZCDC__Org1,rxn,Org1
BI,5aizc[c]__Org1,met,Org1
BI,air[c]__Org1,met,Org1
BI,co2[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,5MTHCYST__Org1,rxn,Org1
BI,5mthglu[c]__Org1,met,Org1
BI,ahcys[c]__Org1,met,Org1
BI,amet[c]__Org1,met,Org1
BI,thglu[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,AACGLYDH__Org1,rxn,Org1
BI,aacald[c]__Org1,met,Org1
BI,gly[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nad[c]__Org1,met,Org1
BI,nadh[c]__Org1,met,Org1
BI,ABTOXy__Org1,rxn,Org1
BI,abt[c]__Org1,met,Org1
BI,arab_L[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,ABUTD__Org1,rxn,Org1
BI,4abut[c]__Org1,met,Org1
BI,4abutn[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nad[c]__Org1,met,Org1
BI,nadh[c]__Org1,met,Org1
BI,ABUTR__Org1,rxn,Org1
BI,4abut[c]__Org1,met,Org1
BI,4abutn[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,ABUTt2r__Org1,rxn,Org1
BI,4abut[e]__Org1,met,Org1
BI,4abut[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,h[e]__Org1,met,Org1
BI,ACALD__Org1,rxn,Org1
BI,acald[c]__Org1,met,Org1
BI,accoa[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nad[c]__Org1,met,Org1
BI,nadh[c]__Org1,met,Org1
BI,ACALDt__Org1,rxn,Org1
BI,acald[e]__Org1,met,Org1
BI,acald[c]__Org1,met,Org1
BI,ACCOACL__Org1,rxn,Org1
BI,apoC_Lys_btn[c]__Org1,met,Org1
BI,btn_co2[c]__Org1,met,Org1
BI,malcoa[c]__Org1,met,Org1
BI,accoa[c]__Org1,met,Org1
BI,ACGALK3__Org1,rxn,Org1
BI,acgal6p[c]__Org1,met,Org1
BI,acgal[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACGALt2r__Org1,rxn,Org1
BI,acgal[e]__Org1,met,Org1
BI,acgal[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,h[e]__Org1,met,Org1
BI,ACGAM2E__Org1,rxn,Org1
BI,acgam[c]__Org1,met,Org1
BI,acmana[c]__Org1,met,Org1
BI,ACGAMK__Org1,rxn,Org1
BI,acgam6p[c]__Org1,met,Org1
BI,acgam[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACGAMT__Org1,rxn,Org1
BI,uacgam[c]__Org1,met,Org1
BI,udcpp[c]__Org1,met,Org1
BI,ump[c]__Org1,met,Org1
BI,unaga[c]__Org1,met,Org1
BI,ACGAMt2__Org1,rxn,Org1
BI,acgam[e]__Org1,met,Org1
BI,acgam[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,h[e]__Org1,met,Org1
BI,ACGApts__Org1,rxn,Org1
BI,pep[c]__Org1,met,Org1
BI,acgam6p[c]__Org1,met,Org1
BI,acgam[e]__Org1,met,Org1
BI,pyr[c]__Org1,met,Org1
BI,ACGK__Org1,rxn,Org1
BI,acg5p[c]__Org1,met,Org1
BI,acglu[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,ACGS__Org1,rxn,Org1
BI,glu_L[c]__Org1,met,Org1
BI,accoa[c]__Org1,met,Org1
BI,acglu[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACHBPL__Org1,rxn,Org1
BI,2obut[c]__Org1,met,Org1
BI,hethmpp[c]__Org1,met,Org1
BI,2ahbut[c]__Org1,met,Org1
BI,thmpp[c]__Org1,met,Org1
BI,ACKr__Org1,rxn,Org1
BI,ac[c]__Org1,met,Org1
BI,actp[c]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,ACLDC__Org1,rxn,Org1
BI,actn_R[c]__Org1,met,Org1
BI,alac_S[c]__Org1,met,Org1
BI,co2[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACLS_a__Org1,rxn,Org1
BI,co2[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,hethmpp[c]__Org1,met,Org1
BI,pyr[c]__Org1,met,Org1
BI,thmpp[c]__Org1,met,Org1
BI,ACLS_b__Org1,rxn,Org1
BI,alac_S[c]__Org1,met,Org1
BI,hethmpp[c]__Org1,met,Org1
BI,pyr[c]__Org1,met,Org1
BI,thmpp[c]__Org1,met,Org1
BI,ACNAMabc__Org1,rxn,Org1
BI,acnam[c]__Org1,met,Org1
BI,acnam[e]__Org1,met,Org1
BI,adp[c]__Org1,met,Org1
BI,atp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,pi[c]__Org1,met,Org1
BI,ACNML__Org1,rxn,Org1
BI,acmana[c]__Org1,met,Org1
BI,acnam[c]__Org1,met,Org1
