model,source_node_id,target_node_id,compartment
BI,nadph[c]__Org1,3OAR40__Org1,BI
BI,3OAR4M5__Org1,4m3hpentACP[c]__Org1,BI
BI,4m3opentACP[c]__Org1,3OAR4M5__Org1,BI
BI,h[c]__Org1,3OAR4M5__Org1,BI
BI,3OAR4M5__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR4M5__Org1,BI
BI,3OAR4M6__Org1,4m3hhexACP[c]__Org1,BI
BI,4m3ohexACP[c]__Org1,3OAR4M6__Org1,BI
BI,h[c]__Org1,3OAR4M6__Org1,BI
BI,3OAR4M6__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR4M6__Org1,BI
BI,3OAR5M6__Org1,5m3hhexACP[c]__Org1,BI
BI,5m3ohexACP[c]__Org1,3OAR5M6__Org1,BI
BI,h[c]__Org1,3OAR5M6__Org1,BI
BI,3OAR5M6__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR5M6__Org1,BI
BI,3OAR60__Org1,3hhexACP[c]__Org1,BI
BI,3ohexACP[c]__Org1,3OAR60__Org1,BI
BI,h[c]__Org1,3OAR60__Org1,BI
BI,3OAR60__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR60__Org1,BI
BI,3OAR6M7__Org1,6m3hheptACP[c]__Org1,BI
BI,6m3oheptACP[c]__Org1,3OAR6M7__Org1,BI
BI,h[c]__Org1,3OAR6M7__Org1,BI
BI,3OAR6M7__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR6M7__Org1,BI
BI,3OAR6M8__Org1,6m3hocACP[c]__Org1,BI
BI,6m3oocACP[c]__Org1,3OAR6M8__Org1,BI
BI,h[c]__Org1,3OAR6M8__Org1,BI
BI,3OAR6M8__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR6M8__Org1,BI
BI,3OAR7M8__Org1,7m3hocACP[c]__Org1,BI
BI,7m3oocACP[c]__Org1,3OAR7M8__Org1,BI
BI,h[c]__Org1,3OAR7M8__Org1,BI
BI,3OAR7M8__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR7M8__Org1,BI
BI,3OAR80__Org1,3hoctACP[c]__Org1,BI
BI,3ooctACP[c]__Org1,3OAR80__Org1,BI
BI,h[c]__Org1,3OAR80__Org1,BI
BI,3OAR80__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR80__Org1,BI
BI,3OAR8M10__Org1,8m3hdcaACP[c]__Org1,BI
BI,8m3odcaACP[c]__Org1,3OAR8M10__Org1,BI
BI,h[c]__Org1,3OAR8M10__Org1,BI
BI,3OAR8M10__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR8M10__Org1,BI
BI,3OAR8M9__Org1,8m3hnonACP[c]__Org1,BI
BI,8m3ononACP[c]__Org1,3OAR8M9__Org1,BI
BI,h[c]__Org1,3OAR8M9__Org1,BI
BI,3OAR8M9__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR8M9__Org1,BI
BI,3OAR9M10__Org1,9m3hdcaACP[c]__Org1,BI
BI,9m3odcaACP[c]__Org1,3OAR9M10__Org1,BI
BI,h[c]__Org1,3OAR9M10__Org1,BI
BI,3OAR9M10__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR9M10__Org1,BI
BI,4ABZt2__Org1,4abz[c]__Org1,BI
BI,4abz[e]__Org1,4ABZt2__Org1,BI
BI,h[e]__Org1,4ABZt2__Org1,BI
BI,4ABZt2__Org1,h[c]__Org1,BI
BI,4hthdp[c]__Org1,4HTHDR__Org1,BI
BI,4HTHDR__Org1,nad[c]__Org1,BI
BI,nadh[c]__Org1,4HTHDR__Org1,BI
BI,4HTHDR__Org1,thdp[c]__Org1,BI
BI,4HTHDR__Org1,h2o[c]__Org1,BI
BI,h[c]__Org1,4HTHDR__Org1,BI
BI,aspsa[c]__Org1,4HTHDS__Org1,BI
BI,pyr[c]__Org1,4HTHDS__Org1,BI
BI,4HTHDS__Org1,4hthdp[c]__Org1,BI
BI,4HTHDS__Org1,h2o[c]__Org1,BI
BI,4HTHDS__Org1,h[c]__Org1,BI
BI,4HTHRS__Org1,4hthr[c]__Org1,BI
BI,phthr[c]__Org1,4HTHRS__Org1,BI
BI,4HTHRS__Org1,pi[c]__Org1,BI
BI,h2o[c]__Org1,4HTHRS__Org1,BI
BI,HC01104[c]__Org1,4NTPPH2__Org1,BI
BI,4NTPPH2__Org1,pnp[c]__Org1,BI
BI,h2o[c]__Org1,4NTPPH2__Org1,BI
BI,4NTPPH2__Org1,h[c]__Org1,BI
BI,4NTPPH2__Org1,pi[c]__Org1,BI
BI,5aizc[c]__Org1,5AIZCDC__Org1,BI
BI,5AIZCDC__Org1,air[c]__Org1,BI
BI,5AIZCDC__Org1,co2[c]__Org1,BI
BI,h[c]__Org1,5AIZCDC__Org1,BI
BI,5mthglu[c]__Org1,5MTHCYST__Org1,BI
BI,ahcys[c]__Org1,5MTHCYST__Org1,BI
BI,5MTHCYST__Org1,amet[c]__Org1,BI
BI,5MTHCYST__Org1,thglu[c]__Org1,BI
BI,h[c]__Org1,5MTHCYST__Org1,BI
BI,aacald[c]__Org1,AACGLYDH__Org1,BI
BI,AACGLYDH__Org1,gly[c]__Org1,BI
BI,h2o[c]__Org1,AACGLYDH__Org1,BI
BI,AACGLYDH__Org1,h[c]__Org1,BI
BI,nad[c]__Org1,AACGLYDH__Org1,BI
BI,AACGLYDH__Org1,nadh[c]__Org1,BI
BI,abt[c]__Org1,ABTOXy__Org1,BI
BI,ABTOXy__Org1,arab_L[c]__Org1,BI
BI,ABTOXy__Org1,h[c]__Org1,BI
BI,nadp[c]__Org1,ABTOXy__Org1,BI
BI,ABTOXy__Org1,nadph[c]__Org1,BI
BI,ABUTD__Org1,4abut[c]__Org1,BI
BI,4abutn[c]__Org1,ABUTD__Org1,BI
BI,h2o[c]__Org1,ABUTD__Org1,BI
BI,ABUTD__Org1,h[c]__Org1,BI
BI,nad[c]__Org1,ABUTD__Org1,BI
BI,ABUTD__Org1,nadh[c]__Org1,BI
BI,ABUTR__Org1,4abut[c]__Org1,BI
BI,4abutn[c]__Org1,ABUTR__Org1,BI
BI,h2o[c]__Org1,ABUTR__Org1,BI
BI,ABUTR__Org1,h[c]__Org1,BI
BI,nadp[c]__Org1,ABUTR__Org1,BI
BI,ABUTR__Org1,nadph[c]__Org1,BI
BI,4abut[e]__Org1,ABUTt2r__Org1,BI
BI,ABUTt2r__Org1,4abut[c]__Org1,BI
BI,ABUTt2r__Org1,h[c]__Org1,BI
BI,h[e]__Org1,ABUTt2r__Org1,BI
BI,acald[c]__Org1,ACALD__Org1,BI
BI,ACALD__Org1,accoa[c]__Org1,BI
BI,coa[c]__Org1,ACALD__Org1,BI
BI,ACALD__Org1,h[c]__Org1,BI
BI,nad[c]__Org1,ACALD__Org1,BI
BI,ACALD__Org1,nadh[c]__Org1,BI
BI,acald[e]__Org1,ACALDt__Org1,BI
BI,ACALDt__Org1,acald[c]__Org1,BI
BI,ACCOACL__Org1,apoC_Lys_btn[c]__Org1,BI
BI,btn_co2[c]__Org1,ACCOACL__Org1,BI
BI,ACCOACL__Org1,malcoa[c]__Org1,BI
BI,accoa[c]__Org1,ACCOACL__Org1,BI
BI,ACGALK3__Org1,acgal6p[c]__Org1,BI
BI,acgal[c]__Org1,ACGALK3__Org1,BI
BI,ACGALK3__Org1,adp[c]__Org1,BI
BI,atp[c]__Org1,ACGALK3__Org1,BI
BI,ACGALK3__Org1,h[c]__Org1,BI
BI,acgal[e]__Org1,ACGALt2r__Org1,BI
BI,ACGALt2r__Org1,acgal[c]__Org1,BI
BI,ACGALt2r__Org1,h[c]__Org1,BI
BI,h[e]__Org1,ACGALt2r__Org1,BI
BI,acgam[c]__Org1,ACGAM2E__Org1,BI
BI,ACGAM2E__Org1,acmana[c]__Org1,BI
BI,ACGAMK__Org1,acgam6p[c]__Org1,BI
BI,acgam[c]__Org1,ACGAMK__Org1,BI
BI,ACGAMK__Org1,adp[c]__Org1,BI
BI,atp[c]__Org1,ACGAMK__Org1,BI
BI,ACGAMK__Org1,h[c]__Org1,BI
BI,uacgam[c]__Org1,ACGAMT__Org1,BI
BI,udcpp[c]__Org1,ACGAMT__Org1,BI
BI,ACGAMT__Org1,ump[c]__Org1,BI
BI,ACGAMT__Org1,unaga[c]__Org1,BI
BI,acgam[e]__Org1,ACGAMt2__Org1,BI
BI,ACGAMt2__Org1,acgam[c]__Org1,BI
BI,ACGAMt2__Org1,h[c]__Org1,BI
BI,h[e]__Org1,ACGAMt2__Org1,BI
BI,pep[c]__Org1,ACGApts__Org1,BI
BI,ACGApts__Org1,acgam6p[c]__Org1,BI
BI,acgam[e]__Org1,ACGApts__Org1,BI
BI,ACGApts__Org1,pyr[c]__Org1,BI
BI,ACGK__Org1,acg5p[c]__Org1,BI
BI,acglu[c]__Org1,ACGK__Org1,BI
BI,ACGK__Org1,adp[c]__Org1,BI
BI,atp[c]__Org1,ACGK__Org1,BI
BI,glu_L[c]__Org1,ACGS__Org1,BI
BI,accoa[c]__Org1,ACGS__Org1,BI
BI,ACGS__Org1,acglu[c]__Org1,BI
BI,ACGS__Org1,coa[c]__Org1,BI
BI,ACGS__Org1,h[c]__Org1,BI
BI,2obut[c]__Org1,ACHBPL__Org1,BI
BI,hethmpp[c]__Org1,ACHBPL__Org1,BI
BI,ACHBPL__Org1,2ahbut[c]__Org1,BI
BI,ACHBPL__Org1,thmpp[c]__Org1,BI
BI,ac[c]__Org1,ACKr__Org1,BI
BI,ACKr__Org1,actp[c]__Org1,BI
BI,ACKr__Org1,adp[c]__Org1,BI
BI,atp[c]__Org1,ACKr__Org1,BI
BI,ACLDC__Org1,actn_R[c]__Org1,BI
BI,alac_S[c]__Org1,ACLDC__Org1,BI
BI,ACLDC__Org1,co2[c]__Org1,BI
BI,h[c]__Org1,ACLDC__Org1,BI
BI,ACLS_a__Org1,co2[c]__Org1,BI
BI,h[c]__Org1,ACLS_a__Org1,BI
BI,ACLS_a__Org1,hethmpp[c]__Org1,BI
BI,pyr[c]__Org1,ACLS_a__Org1,BI
BI,thmpp[c]__Org1,ACLS_a__Org1,BI
BI,alac_S[c]__Org1,ACLS_b__Org1,BI
BI,ACLS_b__Org1,hethmpp[c]__Org1,BI
BI,ACLS_b__Org1,pyr[c]__Org1,BI
BI,thmpp[c]__Org1,ACLS_b__Org1,BI
BI,ACNAMabc__Org1,acnam[c]__Org1,BI
BI,acnam[e]__Org1,ACNAMabc__Org1,BI
BI,ACNAMabc__Org1,adp[c]__Org1,BI
BI,atp[c]__Org1,ACNAMabc__Org1,BI
BI,h2o[c]__Org1,ACNAMabc__Org1,BI
BI,ACNAMabc__Org1,h[c]__Org1,BI
BI,ACNAMabc__Org1,pi[c]__Org1,BI
BI,ACNML__Org1,acmana[c]__Org1,BI
BI,acnam[c]__Org1,ACNML__Org1,BI
BI,ACNML__Org1,pyr[c]__Org1,BI
BI,1tdecg3p[c]__Org1,ACOAAGPAT140__Org1,BI
BI,ACOAAGPAT140__Org1,pa140[c]__Org1,BI
BI,tdcoa[c]__Org1,ACOAAGPAT140__Org1,BI
BI,ACOAAGPAT140__Org1,coa[c]__Org1,BI
BI,1hdecg3p[c]__Org1,ACOAAGPAT160__Org1,BI
BI,ACOAAGPAT160__Org1,pa160[c]__Org1,BI
BI,pmtcoa[c]__Org1,ACOAAGPAT160__Org1,BI
BI,ACOAAGPAT160__Org1,coa[c]__Org1,BI
BI,1odecg3p[c]__Org1,ACOAAGPAT180__Org1,BI
BI,ACOAAGPAT180__Org1,pa180[c]__Org1,BI
BI,stcoa[c]__Org1,ACOAAGPAT180__Org1,BI
BI,ACOAAGPAT180__Org1,coa[c]__Org1,BI
BI,1aipdecg3p[c]__Org1,ACOAAGPATAI15__Org1,BI
BI,aipdcoa[c]__Org1,ACOAAGPATAI15__Org1,BI
BI,ACOAAGPATAI15__Org1,paai15[c]__Org1,BI
BI,ACOAAGPATAI15__Org1,coa[c]__Org1,BI
BI,ACOAAGPATAI15__Org1,h[c]__Org1,BI
BI,1aihpdecg3p[c]__Org1,ACOAAGPATAI17__Org1,BI
BI,aihpdcoa[c]__Org1,ACOAAGPATAI17__Org1,BI
BI,ACOAAGPATAI17__Org1,paai17[c]__Org1,BI
BI,ACOAAGPATAI17__Org1,coa[c]__Org1,BI
BI,1itdecg3p[c]__Org1,ACOAAGPATI14__Org1,BI
BI,itdcoa[c]__Org1,ACOAAGPATI14__Org1,BI
BI,ACOAAGPATI14__Org1,pai14[c]__Org1,BI
BI,ACOAAGPATI14__Org1,coa[c]__Org1,BI
BI,ACOAAGPATI14__Org1,h[c]__Org1,BI
BI,1ipdecg3p[c]__Org1,ACOAAGPATI15__Org1,BI
BI,ipdcoa[c]__Org1,ACOAAGPATI15__Org1,BI
BI,ACOAAGPATI15__Org1,pai15[c]__Org1,BI
BI,ACOAAGPATI15__Org1,coa[c]__Org1,BI
BI,ACOAAGPATI15__Org1,h[c]__Org1,BI
