First_Org_Flux,Second_Org_Max_Flux,Second_Org_Min_Flux,3rd_Org_Max_Flux,4th_Org_Max_Flux
0.37880147879120957,0.28394266613630686,0.28394266613630686,0,0
0.37880147879121184,0.2839426661363046,0.2839426661363046,0,0
0.3788014787912141,0.2839426661363023,0.2839426661363023,0,0
0.3788014787912164,0.28394266613630004,0.28394266613630004,0,0
0.37880147879121867,0.28394266613629776,0.28394266613629776,0,0
0.37880147879122095,0.2839426661362955,0.2839426661362955,0,0
0.3788014787912232,0.2839426661362932,0.2839426661362932,0,0
0.3788014787912255,0.28394266613629093,0.28394266613629093,0,0
0.3788014787912278,0.28394266613628866,0.28394266613628866,0,0
0.37880147879123005,0.2839426661362864,0.2839426661362864,0,0
0.3788014787912323,0.2839426661362841,0.2839426661362841,0,0
0.3788014787912346,0.28394266613628183,0.28394266613628183,0,0
0.3788014787912369,0.28394266613627955,0.28394266613627955,0,0
0.37880147879123915,0.2839426661362773,0.2839426661362773,0,0
0.37880147879124143,0.283942666136275,0.283942666136275,0,0
0.3788014787912437,0.2839426661362727,0.2839426661362727,0,0
0.378801478791246,0.28394266613627045,0.28394266613627045,0,0
0.3788014787912483,0.2839426661362681,0.2839426661362681,0,0
0.3788014787912506,0.28394266613626584,0.28394266613626584,0,0
0.37880147879125287,0.28394266613626357,0.28394266613626357,0,0
0.37880147879125514,0.2839426661362613,0.2839426661362613,0,0
0.3788014787912574,0.283942666136259,0.283942666136259,0,0
0.3788014787912597,0.28394266613625674,0.28394266613625674,0,0
0.37880147879126197,0.28394266613625446,0.28394266613625446,0,0
0.37880147879126425,0.2839426661362522,0.2839426661362522,0,0
0.3788014787912665,0.2839426661362499,0.2839426661362499,0,0
0.3788014787912688,0.28394266613624763,0.28394266613624763,0,0
0.3788014787912711,0.28394266613624536,0.28394266613624536,0,0
0.37880147879127335,0.2839426661362431,0.2839426661362431,0,0
0.3788014787912756,0.2839426661362408,0.2839426661362408,0,0
0.3788014787912779,0.28394266613623853,0.28394266613623853,0,0
0.3788014787912802,0.28394266613623625,0.28394266613623625,0,0
0.37880147879128245,0.283942666136234,0.283942666136234,0,0
0.37880147879128473,0.2839426661362317,0.2839426661362317,0,0
0.378801478791287,0.2839426661362294,0.2839426661362294,0,0
0.3788014787912893,0.28394266613622715,0.28394266613622715,0,0
0.37880147879129156,0.2839426661362249,0.2839426661362249,0,0
0.37880147879129383,0.2839426661362226,0.2839426661362226,0,0
0.3788014787912961,0.2839426661362203,0.2839426661362203,0,0
0.3788014787912984,0.28394266613621805,0.28394266613621805,0,0
0.37880147879130066,0.28394266613621577,0.28394266613621577,0,0
0.37880147879130294,0.2839426661362135,0.2839426661362135,0,0
0.3788014787913052,0.2839426661362112,0.2839426661362112,0,0
0.3788014787913075,0.28394266613620894,0.28394266613620894,0,0
0.37880147879130976,0.28394266613620667,0.28394266613620667,0,0
0.37880147879131204,0.2839426661362044,0.2839426661362044,0,0
0.3788014787913143,0.2839426661362021,0.2839426661362021,0,0
0.3788014787913166,0.28394266613619984,0.28394266613619984,0,0
0.37880147879131887,0.28394266613619756,0.28394266613619756,0,0
0.37880147879132114,0.2839426661361953,0.2839426661361953,0,0
0.3788014787913234,0.283942666136193,0.283942666136193,0,0
0.37880147879132575,0.2839426661361907,0.2839426661361907,0,0
0.37880147879132803,0.2839426661361884,0.2839426661361884,0,0
0.3788014787913303,0.28394266613618613,0.28394266613618613,0,0
0.3788014787913326,0.28394266613618385,0.28394266613618385,0,0
0.37880147879133486,0.2839426661361816,0.2839426661361816,0,0
0.37880147879133713,0.2839426661361793,0.2839426661361793,0,0
0.3788014787913394,0.283942666136177,0.283942666136177,0,0
0.3788014787913417,0.28394266613617475,0.28394266613617475,0,0
0.37880147879134396,0.2839426661361725,0.2839426661361725,0,0
0.37880147879134624,0.2839426661361702,0.2839426661361702,0,0
0.3788014787913485,0.2839426661361679,0.2839426661361679,0,0
0.3788014787913508,0.28394266613616564,0.28394266613616564,0,0
0.37880147879135306,0.28394266613616337,0.28394266613616337,0,0
0.37880147879135534,0.2839426661361611,0.2839426661361611,0,0
0.3788014787913576,0.2839426661361588,0.2839426661361588,0,0
0.3788014787913599,0.28394266613615654,0.28394266613615654,0,0
0.37880147879136217,0.28394266613615426,0.28394266613615426,0,0
0.37880147879136444,0.283942666136152,0.283942666136152,0,0
0.3788014787913667,0.2839426661361497,0.2839426661361497,0,0
0.378801478791369,0.28394266613614744,0.28394266613614744,0,0
0.37880147879137127,0.28394266613614516,0.28394266613614516,0,0
0.37880147879137355,0.2839426661361429,0.2839426661361429,0,0
0.3788014787913758,0.2839426661361406,0.2839426661361406,0,0
0.3788014787913781,0.28394266613613833,0.28394266613613833,0,0
0.3788014787913804,0.28394266613613606,0.28394266613613606,0,0
0.37880147879138265,0.2839426661361338,0.2839426661361338,0,0
0.3788014787913849,0.2839426661361315,0.2839426661361315,0,0
0.3788014787913872,0.28394266613612923,0.28394266613612923,0,0
0.3788014787913895,0.28394266613612695,0.28394266613612695,0,0
0.37880147879139175,0.2839426661361247,0.2839426661361247,0,0
0.37880147879139403,0.2839426661361224,0.2839426661361224,0,0
0.3788014787913963,0.2839426661361201,0.2839426661361201,0,0
0.3788014787913986,0.28394266613611785,0.28394266613611785,0,0
0.3788014787914009,0.2839426661361155,0.2839426661361155,0,0
0.3788014787914032,0.28394266613611324,0.28394266613611324,0,0
0.37880147879140547,0.28394266613611097,0.28394266613611097,0,0
0.37880147879140774,0.2839426661361087,0.2839426661361087,0,0
0.37880147879141,0.2839426661361064,0.2839426661361064,0,0
0.3788014787914123,0.28394266613610414,0.28394266613610414,0,0
0.37880147879141457,0.28394266613610186,0.28394266613610186,0,0
0.37880147879141685,0.2839426661360996,0.2839426661360996,0,0
0.3788014787914191,0.2839426661360973,0.2839426661360973,0,0
0.3788014787914214,0.28394266613609503,0.28394266613609503,0,0
0.3788014787914237,0.28394266613609276,0.28394266613609276,0,0
0.37880147879142595,0.2839426661360905,0.2839426661360905,0,0
0.3788014787914282,0.2839426661360882,0.2839426661360882,0,0
0.3788014787914305,0.28394266613608593,0.28394266613608593,0,0
0.3788014787914328,0.28394266613608365,0.28394266613608365,0,0
0.37880147879143505,0.2839426661360814,0.2839426661360814,0,0
0.37880147879143733,0.2839426661360791,0.2839426661360791,0,0
