simulation,tradeoff,Org1_growth,Org2_growth
0.0,1.0,0.0,0.0
0.0,0.99,0.0,0.0
0.0,0.98,0.0,0.0
0.0,0.97,0.0,0.0
0.0,0.96,0.0,0.0
0.0,0.95,0.0,0.0
0.0,0.94,0.0,0.0
0.0,0.9299999999999999,0.0,0.0
0.0,0.92,0.0,0.0
0.0,0.91,0.0,0.0
0.0,0.9,0.0,0.0
0.0,0.89,0.0,0.0
0.0,0.88,0.0,0.0
0.0,0.87,0.0,0.0
0.0,0.86,0.0,0.0
0.0,0.85,0.0,0.0
0.0,0.84,0.0,0.0
0.0,0.83,0.0,0.0
0.0,0.8200000000000001,0.0,0.0
0.0,0.81,0.0,0.0
0.0,0.8,0.0,0.0
0.0,0.79,0.0,0.0
0.0,0.78,0.0,0.0
0.0,0.77,0.0,0.0
0.0,0.76,0.0,0.0
0.0,0.75,0.0,0.0
0.0,0.74,0.0,0.0
0.0,0.73,0.0,0.0
0.0,0.72,0.0,0.0
0.0,0.71,0.0,0.0
0.0,0.7,0.0,0.0
0.0,0.69,0.0,0.0
0.0,0.6799999999999999,0.0,0.0
0.0,0.6699999999999999,0.0,0.0
0.0,0.6599999999999999,0.0,0.0
0.0,0.6499999999999999,0.0,0.0
0.0,0.64,0.0,0.0
0.0,0.63,0.0,0.0
0.0,0.62,0.0,0.0
0.0,0.61,0.0,0.0
0.0,0.6,0.0,0.0
0.0,0.59,0.0,0.0
0.0,0.5800000000000001,0.0,0.0
0.0,0.5700000000000001,0.0,0.0
0.0,0.56,0.0,0.0
0.0,0.55,0.0,0.0
0.0,0.54,0.0,0.0
0.0,0.53,0.0,0.0
0.0,0.52,0.0,0.0
0.0,0.51,0.0,0.0
0.0,0.5,0.0,0.0
0.0,0.49,0.0,0.0
0.0,0.48,0.0,0.0
0.0,0.47,0.0,0.0
0.0,0.45999999999999996,0.0,0.0
0.0,0.44999999999999996,0.0,0.0
0.0,0.43999999999999995,0.0,0.0
0.0,0.42999999999999994,0.0,0.0
0.0,0.42000000000000004,0.0,0.0
0.0,0.41000000000000003,0.0,0.0
0.0,0.4,0.0,0.0
0.0,0.39,0.0,0.0
0.0,0.38,0.0,0.0
0.0,0.37,0.0,0.0
0.0,0.36,0.0,0.0
0.0,0.35,0.0,0.0
0.0,0.33999999999999997,0.0,0.0
0.0,0.32999999999999996,0.0,0.0
0.0,0.31999999999999995,0.0,0.0
0.0,0.30999999999999994,0.0,0.0
0.0,0.29999999999999993,0.0,0.0
0.0,0.29000000000000004,0.0,0.0
0.0,0.28,0.0,0.0
0.0,0.27,0.0,0.0
0.0,0.26,0.0,0.0
0.0,0.25,0.0,0.0
0.0,0.24,0.0,0.0
0.0,0.22999999999999998,0.0,0.0
0.0,0.21999999999999997,0.0,0.0
0.0,0.20999999999999996,0.0,0.0
0.0,0.19999999999999996,0.0,0.0
0.0,0.18999999999999995,0.0,0.0
0.0,0.17999999999999994,0.0,0.0
0.0,0.16999999999999993,0.0,0.0
0.0,0.16000000000000003,0.0,0.0
0.0,0.15000000000000002,0.0,0.0
0.0,0.14,0.0,0.0
0.0,0.13,0.0,0.0
0.0,0.12,0.0,0.0
0.0,0.10999999999999999,0.0,0.0
0.0,0.09999999999999998,0.0,0.0
0.0,0.08999999999999997,0.0,0.0
0.0,0.07999999999999996,0.0,0.0
0.0,0.06999999999999995,0.0,0.0
0.0,0.05999999999999994,0.0,0.0
0.0,0.04999999999999993,0.0,0.0
0.0,0.040000000000000036,0.0,0.0
0.0,0.030000000000000027,0.0,0.0
0.0,0.020000000000000018,0.0,0.0
0.0,0.010000000000000009,0.0,0.0
0.0,0.0,0.0,0.0
1.0,1.0,0.28394266613897146,0.3788014787882488
1.0,0.99,0.29556933273314046,0.3605473707448675
1.0,0.98,0.3026763342280106,0.3468129278008266
1.0,0.97,0.3097833360685759,0.33307848451092925
1.0,0.96,0.3163309561609139,0.3199034229693623
1.0,0.95,0.3148034681470581,0.3148034695338562
1.0,0.94,0.31148974779403776,0.3114897484376272
1.0,0.9299999999999999,0.30817602714945924,0.3081760276329542
1.0,0.92,0.30486230647938584,0.30486230685378385
1.0,0.91,0.30154858585741523,0.30154858602645757
1.0,0.9,0.29823486513948405,0.2982348652951241
1.0,0.89,0.29492114434511785,0.2949211446403723
1.0,0.88,0.2916074237063476,0.2916074238297895
1.0,0.87,0.2882937029820198,0.28829370310503866
1.0,0.86,0.2849799822941177,0.2849799823436228
1.0,0.85,0.28166626157541325,0.28166626161299685
1.0,0.84,0.2783525408573522,0.2783525408817904
1.0,0.83,0.2750388201397246,0.27503882015006575
1.0,0.8200000000000001,0.27172509941101475,0.2717250994301578
1.0,0.81,0.26841137869178705,0.2684113786996424
1.0,0.8,0.2650976579668542,0.26509765797516793
1.0,0.79,0.2617839372454351,0.26178393724783544
1.0,0.78,0.25847021663233727,0.25847021644869345
1.0,0.77,0.2551564958083667,0.25515649578681526
1.0,0.76,0.25184277508337666,0.25184277506227143
1.0,0.75,0.24852905435941608,0.24852905433652142
1.0,0.74,0.2452153336369275,0.24521533360948186
1.0,0.73,0.24190161290735518,0.2419016128897136
1.0,0.72,0.23858789218734866,0.23858789216049744
1.0,0.71,0.23527417146211593,0.2352741714363745
1.0,0.7,0.23196045075120367,0.2319604506983823
1.0,0.69,0.22864673002256042,0.2286467299774543
1.0,0.6799999999999999,0.22533300928431485,0.22533300926640026
1.0,0.6699999999999999,0.22201928856173678,0.2220192885396661
1.0,0.6599999999999999,0.21870556784590806,0.21870556780636122
1.0,0.6499999999999999,0.21539184712886614,0.21539184707423215
1.0,0.64,0.21207812638895712,0.2120781263647347
1.0,0.63,0.20876440566557852,0.2087644056387655
1.0,0.62,0.20545068495456212,0.20545068490079013
1.0,0.61,0.20213696423047672,0.2021369641758098
1.0,0.6,0.19882324350857689,0.19882324344839697
1.0,0.59,0.1955095227696527,0.1955095227376795
1.0,0.5800000000000001,0.19219580204140047,0.1921958020166059
1.0,0.5700000000000001,0.1888820813227871,0.1888820812860188
1.0,0.56,0.18556836059460133,0.18556836056505663
1.0,0.55,0.1822546398735119,0.1822546398369346
1.0,0.54,0.17894091914590182,0.17894091911508703
1.0,0.53,0.17562719841761001,0.1756271983941206
1.0,0.52,0.17231347774551178,0.17231347761782823
1.0,0.51,0.16899975697337716,0.1689997569404949
