simulation,tradeoff,Org1_growth,Org2_growth,Org3_growth,Org4_growth
BI_AH,1.0,4.3441551512686726e-17,0.41475956910236755,0,0
BI_AH,0.99,0.011450088212724412,0.3991618851986194,0,0
BI_AH,0.98,0.022731773487638232,0.3837326042328435,0,0
BI_AH,0.97,0.034097660317336784,0.3682191217122272,0,0
BI_AH,0.96,0.04546354709567902,0.3527056392427406,0,0
BI_AH,0.95,0.053783769975836886,0.34023782067150155,0,0
BI_AH,0.94,0.058353409272770676,0.3315205856835227,0,0
BI_AH,0.9299999999999999,0.0629230480112143,0.32280335125706516,0,0
BI_AH,0.92,0.0674926878244318,0.3140861157499591,0,0
BI_AH,0.91,0.07206232706485248,0.30536888081872005,0,0
BI_AH,0.9,0.07663196641087469,0.2966516457813574,0,0
BI_AH,0.89,0.0812016056804302,0.28793441082104715,0,0
BI_AH,0.88,0.08577124496191299,0.27921717584840156,0,0
BI_AH,0.87,0.09034088426458485,0.27049994085461293,0,0
BI_AH,0.86,0.0949105235028735,0.2617827059255703,0,0
BI_AH,0.85,0.0994801627867976,0.25306547095075144,0,0
BI_AH,0.84,0.1040498021440972,0.24434823590204224,0,0
BI_AH,0.83,0.10861944143932652,0.23563100091570194,0,0
BI_AH,0.8200000000000001,0.11318908062888736,0.22691376603538618,0,0
BI_AH,0.81,0.11775871987773896,0.21819653109597098,0,0
BI_AH,0.8,0.12191605337069736,0.20989160191150721,0,0
BI_AH,0.79,0.12483703040521728,0.20282302918574086,0,0
BI_AH,0.78,0.1270301196689868,0.19648234423159017,0,0
BI_AH,0.77,0.12826660896709927,0.19109825924219914,0,0
BI_AH,0.76,0.12950309822448228,0.18571417429390152,0,0
BI_AH,0.75,0.13073958751061251,0.180330089316641,0,0
BI_AH,0.74,0.13197607688366178,0.17494600425221965,0,0
BI_AH,0.73,0.1332125659333439,0.16956191951184038,0,0
BI_AH,0.72,0.13405055201651983,0.1645763377374092,0,0
BI_AH,0.71,0.13405055164171148,0.16042874242233732,0,0
BI_AH,0.7,0.1340505518898345,0.15628114648263547,0,0
BI_AH,0.69,0.13405055186738443,0.15213355081373456,0,0
BI_AH,0.6799999999999999,0.13405055180963746,0.14798595518032498,0,0
BI_AH,0.6699999999999999,0.13405055072488947,0.14383836057469365,0,0
BI_AH,0.6599999999999999,0.13405055118848005,0.1396907644194786,0,0
BI_AH,0.6499999999999999,0.13405053913484138,0.13554318078277888,0,0
BI_AH,0.64,0.13272305921950545,0.13272306500630004,0,0
BI_AH,0.63,0.13064926224018086,0.13064926629564882,0,0
BI_AH,0.62,0.12857546605829862,0.12857546678563658,0,0
BI_AH,0.61,0.12650166830823714,0.12650166884466413,0,0
BI_AH,0.6,0.12442787023983612,0.12442787122300725,0,0
BI_AH,0.59,0.12235406487829416,0.12235408092871594,0,0
BI_AH,0.5800000000000001,0.1202802749632473,0.12028027511638947,0,0
BI_AH,0.5700000000000001,0.11820647701736671,0.11820647737161698,0,0
BI_AH,0.56,0.11613267929740671,0.11613267940012625,0,0
BI_AH,0.55,0.11405888139917601,0.11405888160763754,0,0
BI_AH,0.54,0.11198508360423892,0.11198508371142774,0,0
BI_AH,0.53,0.10991128571624095,0.10991128590862416,0,0
BI_AH,0.52,0.10783748783762108,0.1078374880964081,0,0
BI_AH,0.51,0.10576369003702317,0.10576369020575312,0,0
BI_AH,0.5,0.10368989216598747,0.10368989238641345,0,0
BI_AH,0.49,0.10161609429862066,0.10161609456344073,0,0
BI_AH,0.48,0.09954229645130533,0.0995422967201249,0,0
BI_AH,0.47,0.09746849865943878,0.09746849882071487,0,0
BI_AH,0.45999999999999996,0.09539470085528097,0.09539470093220405,0,0
BI_AH,0.44999999999999996,0.09332090302167387,0.09332090307497388,0,0
BI_AH,0.43999999999999995,0.09124710513910315,0.09124710526808513,0,0
BI_AH,0.42999999999999994,0.08917329864873869,0.08917331624607285,0,0
BI_AH,0.42000000000000004,0.08709950937382684,0.08709950965214777,0,0
BI_AH,0.41000000000000003,0.08502571153522388,0.08502571179931938,0,0
BI_AH,0.4,0.08295191377740574,0.08295191386434805,0,0
BI_AH,0.39,0.08087811594940005,0.08087811600109698,0,0
BI_AH,0.38,0.07880431805601368,0.07880431820411714,0,0
BI_AH,0.37,0.07673052016069874,0.07673052040911571,0,0
BI_AH,0.36,0.07465672233536977,0.07465672254320324,0,0
BI_AH,0.35,0.07258292457470206,0.07258292461142184,0,0
BI_AH,0.33999999999999997,0.07050912672501265,0.07050912677007026,0,0
BI_AH,0.32999999999999996,0.06843532879722171,0.06843532900811815,0,0
BI_AH,0.31999999999999995,0.06636153099173572,0.06636153112254782,0,0
BI_AH,0.30999999999999994,0.06428773314300548,0.06428773328469331,0,0
BI_AH,0.29999999999999993,0.06221393527010627,0.06221393546237686,0,0
BI_AH,0.29000000000000004,0.06014013750125549,0.060140137538833884,0,0
BI_AH,0.28,0.0580663396483702,0.05806633970076789,0,0
BI_AH,0.27,0.055992541777346055,0.05599254188194399,0,0
BI_AH,0.26,0.0539187439593845,0.0539187440078574,0,0
BI_AH,0.25,0.05184494610193475,0.051844946175789094,0,0
BI_AH,0.24,0.049771148259012056,0.049771148326778265,0,0
BI_AH,0.22999999999999998,0.04769735035280945,0.047697350543153605,0,0
BI_AH,0.21999999999999997,0.04562355257419242,0.045623552629955516,0,0
BI_AH,0.20999999999999996,0.043549754719948305,0.043549754794501704,0,0
BI_AH,0.19999999999999996,0.04147595631940829,0.04147595757839572,0,0
BI_AH,0.18999999999999995,0.03940215904705893,0.039402159083909385,0,0
BI_AH,0.17999999999999994,0.037328361197270954,0.037328361244521574,0,0
BI_AH,0.16999999999999993,0.03525456334391006,0.035254563408722656,0,0
BI_AH,0.16000000000000003,0.033180765436262534,0.03318076563778298,0,0
BI_AH,0.15000000000000002,0.031106967646539318,0.031106967727357434,0,0
BI_AH,0.14,0.029033169799339422,0.02903316987978591,0,0
BI_AH,0.13,0.026959371965813796,0.02695937202305587,0,0
BI_AH,0.12,0.024885574118153536,0.024885574187987303,0,0
BI_AH,0.10999999999999999,0.022811776259885203,0.022811776350937757,0,0
BI_AH,0.09999999999999998,0.020737978412503577,0.020737978503467945,0,0
BI_AH,0.08999999999999997,0.018664180560863147,0.018664180665040976,0,0
BI_AH,0.07999999999999996,0.016590382741689506,0.016590382794080698,0,0
BI_AH,0.06999999999999995,0.014516584733936357,0.014516585138972606,0,0
BI_AH,0.05999999999999994,0.01244278705128141,0.01244278710641087,0,0
BI_AH,0.04999999999999993,0.010368989187302306,0.010368989290812095,0,0
BI_AH,0.040000000000000036,0.008295191290341265,0.008295191497659324,0,0
BI_AH,0.030000000000000027,0.006221393473747269,0.006221393654337775,0,0
BI_AH,0.020000000000000018,0.004147595115775577,0.004147596517990392,0,0
BI_AH,0.010000000000000009,0.002073797623319525,0.0020737984739286307,0,0
BI_AH,0.0,1.688372912532254e-05,2.3609433212124994e-05,0,0
